ablation,setting_tasks,setting_processors,seed,split,HEFT,CPOP,RKHS_BO,template_features,theta,llm_response
full_rkhs,20,2,40,test,165.0,202.0,170.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,41,test,125.0,155.0,141.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,42,test,168.0,183.0,155.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,43,test,161.0,198.0,139.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,44,test,198.0,240.0,177.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,45,test,174.0,183.0,162.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,46,test,155.0,167.0,156.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,47,test,151.0,163.0,138.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,48,test,169.0,204.0,169.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
full_rkhs,20,2,49,test,139.0,156.0,142.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 0.1388879520444483, 'depth': -2.3508556108969856, 'in_degree': 0.5729936914156962, 'fork': 1.1328026157117794, 'comm_weight': -0.14809696673669442}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances task priority based on their rank, structural properties, and communication weight, which can help in effectively scheduling tasks in a heterogeneous environment."
