ablation,graph_family,graph_params,setting_tasks,setting_processors,seed,split,HEFT,CPOP,RKHS_BO,template_features,theta,llm_response
full_rkhs,random,{'edge_prob': 0.2},20,2,40,test,165.0,202.0,162.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,41,test,125.0,155.0,134.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,42,test,168.0,183.0,163.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,43,test,161.0,198.0,157.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,44,test,198.0,240.0,187.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,45,test,174.0,183.0,167.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,46,test,155.0,167.0,158.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,47,test,151.0,163.0,151.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,48,test,169.0,204.0,152.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,2,49,test,139.0,156.0,143.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 2.7235215414138567, 'depth': -2.142610808858679, 'in_degree': 0.5767387608239649, 'fork': 1.9733707999251848, 'comm_weight': -0.5976467671770078}","rank_u,depth,in_degree,fork,comm_weight"
full_rkhs,random,{'edge_prob': 0.2},20,4,40,test,90.0,111.0,90.0,"rank_u,rank_d,depth,in_degree,fork","{'rank_u': 1.616866504931977, 'rank_d': -0.1741377462377961, 'depth': 2.003219884331806, 'in_degree': -2.484759463882749, 'fork': -2.873177996090159}","rank_u,rank_d,depth,in_degree,fork"
full_rkhs,random,{'edge_prob': 0.2},20,4,41,test,90.0,104.0,90.0,"rank_u,rank_d,depth,in_degree,fork","{'rank_u': 1.616866504931977, 'rank_d': -0.1741377462377961, 'depth': 2.003219884331806, 'in_degree': -2.484759463882749, 'fork': -2.873177996090159}","rank_u,rank_d,depth,in_degree,fork"
full_rkhs,random,{'edge_prob': 0.2},20,4,42,test,103.0,103.0,103.0,"rank_u,rank_d,depth,in_degree,fork","{'rank_u': 1.616866504931977, 'rank_d': -0.1741377462377961, 'depth': 2.003219884331806, 'in_degree': -2.484759463882749, 'fork': -2.873177996090159}","rank_u,rank_d,depth,in_degree,fork"
full_rkhs,random,{'edge_prob': 0.2},20,4,43,test,79.0,106.0,79.0,"rank_u,rank_d,depth,in_degree,fork","{'rank_u': 1.616866504931977, 'rank_d': -0.1741377462377961, 'depth': 2.003219884331806, 'in_degree': -2.484759463882749, 'fork': -2.873177996090159}","rank_u,rank_d,depth,in_degree,fork"
full_rkhs,random,{'edge_prob': 0.2},20,4,44,test,142.0,157.0,142.0,"rank_u,rank_d,depth,in_degree,fork","{'rank_u': 1.616866504931977, 'rank_d': -0.1741377462377961, 'depth': 2.003219884331806, 'in_degree': -2.484759463882749, 'fork': -2.873177996090159}","rank_u,rank_d,depth,in_degree,fork"
